dataTime,locType,longitude,latitude,heading,accuracy,speed,distance,isBackForeground,stepType,altitude
1663486857,1,120.156075,30.256547,0.000000,16.049616,0.000000,0.000000,0,1,13.365296
1663856221,1,120.010239,30.287197,0.000000,4.740272,0.000000,0.000000,0,1,8.656582
1662855531,1,121.622283,28.283612,0.000000,4.575235,0.000000,0.000000,0,1,141.399608
1663842395,1,119.999100,30.281775,0.000000,23.439634,0.186111,0.000000,0,1,112.176136
1664026144,1,120.056808,30.312667,0.000000,15.692064,0.000000,0.000000,0,1,18.360073
1662853315,1,121.625533,28.281805,0.000000,4.735793,0.000000,0.000000,0,1,102.799929
1662976137,1,121.625738,28.281822,0.000000,4.727573,0.000000,0.000000,0,1,100.453900
1663856228,1,120.010239,30.287197,0.000000,4.734358,0.000000,0.000000,0,1,8.684594
1662861890,1,121.623887,28.283595,0.000000,4.718668,0.000000,0.000000,0,1,112.731265
1662977551,1,121.622283,28.283605,0.000000,4.125198,0.000000,0.000000,0,1,146.061412
1664173911,1,120.030814,30.320630,0.000000,42.189440,0.000000,0.000000,0,1,35.349876
1662861942,1,121.623895,28.283595,0.000000,4.728185,0.000000,0.000000,0,1,116.350792
1664195781,1,120.031120,30.320003,0.000000,7.990308,0.000000,0.000000,0,1,9.863857
1664096113,1,120.030936,30.320287,0.000000,145.829316,0.000000,0.000000,0,1,5.845284
1662976767,1,121.624100,28.283762,0.000000,4.779275,0.001607,0.000000,0,1,113.091835
1663856216,1,120.010239,30.287195,0.000000,4.739044,0.000000,0.000000,0,1,8.814393
1662976162,1,121.623887,28.283595,0.000000,4.721544,0.000000,0.000000,0,1,112.731265
1664363182,1,120.030686,30.320763,0.000000,49.000000,0.000000,0.000000,0,1,31.290821
1662855222,1,121.624863,28.282047,0.000000,3.535534,0.000000,0.000000,0,1,112.444224
1663856204,1,120.010239,30.287188,0.000000,4.737407,0.000000,0.000000,0,1,8.619797
1662861005,1,121.625717,28.281892,0.000000,4.747860,0.011501,0.000000,0,1,108.050866
1662861076,1,121.625687,28.281855,0.000000,3.535534,0.072222,0.000000,0,1,106.122508
